,Personal Income Tax,Corporation tax,Excise duties,Customs duties,Year
32,354.43,602.89,772.41,418.11,2004
33,452.38,751.87,866.42,466.45,2005
34,627.07,1067.01,926.51,628.19,2006
35,865.63,1446.6,961.78,753.82,2007
36,869.85,1607.97,818.72,692.17,2008
37,945.32,1767.97,843.83,602.23,2009
38,1024.41,2091.15,1102.22,975.98,2010
39,1182.24,2274.11,1162.26,1056.14,2011
40,1404.38,2555.7,1412.45,1158.9,2012
41,1694.08,2857.42,1379.75,1210.59,2013
42,1883.36,3114.53,1537.09,1279.94,2014
43,1727.48,2759.17,2204.73,1288.29,2015
44,2252.14,2959.6,2860.88,1353.72,2016
45,2670.78,3574.79,2255.74,856.0,2017
46,3331.73,3997.12,2217.62,736.71,2018
